group,sub,phase,stim_condition,sequenceCompleted,at_least_one_response
extensive,101,pre_test,devalued,11,11
extensive,101,pre_test,still_valued,11,11
extensive,101,reacquisition,devalued,11,11
extensive,101,reacquisition,still_valued,11,11
extensive,101,test,devalued,1,1
extensive,101,test,still_valued,11,11
extensive,102,pre_test,devalued,11,11
extensive,102,pre_test,still_valued,11,11
extensive,102,reacquisition,devalued,0,0
extensive,102,reacquisition,still_valued,11,11
extensive,102,test,devalued,0,0
extensive,102,test,still_valued,11,11
extensive,103,pre_test,devalued,11,11
extensive,103,pre_test,still_valued,11,11
extensive,103,reacquisition,devalued,0,0
extensive,103,reacquisition,still_valued,11,11
extensive,103,test,devalued,0,0
extensive,103,test,still_valued,11,11
extensive,104,pre_test,devalued,11,11
extensive,104,pre_test,still_valued,11,11
extensive,104,reacquisition,devalued,0,0
extensive,104,reacquisition,still_valued,11,11
extensive,104,test,devalued,0,0
extensive,104,test,still_valued,11,11
extensive,105,pre_test,devalued,11,11
extensive,105,pre_test,still_valued,11,11
extensive,105,reacquisition,devalued,0,0
extensive,105,reacquisition,still_valued,9,9
extensive,105,test,devalued,3,4
extensive,105,test,still_valued,10,11
extensive,106,pre_test,devalued,11,11
extensive,106,pre_test,still_valued,11,11
extensive,106,reacquisition,devalued,0,0
extensive,106,reacquisition,still_valued,11,11
extensive,106,test,devalued,1,2
extensive,106,test,still_valued,11,11
extensive,107,pre_test,devalued,11,11
extensive,107,pre_test,still_valued,11,11
extensive,107,reacquisition,devalued,0,0
extensive,107,reacquisition,still_valued,10,11
extensive,107,test,devalued,0,0
extensive,107,test,still_valued,10,11
extensive,108,pre_test,devalued,11,11
extensive,108,pre_test,still_valued,11,11
extensive,108,reacquisition,devalued,0,0
extensive,108,reacquisition,still_valued,11,11
extensive,108,test,devalued,0,0
extensive,108,test,still_valued,11,11
extensive,109,pre_test,devalued,11,11
extensive,109,pre_test,still_valued,11,11
extensive,109,reacquisition,devalued,0,0
extensive,109,reacquisition,still_valued,11,11
extensive,109,test,devalued,0,0
extensive,109,test,still_valued,11,11
extensive,110,pre_test,devalued,11,11
extensive,110,pre_test,still_valued,10,10
extensive,110,reacquisition,devalued,0,0
extensive,110,reacquisition,still_valued,11,11
extensive,110,test,devalued,0,1
extensive,110,test,still_valued,11,11
extensive,111,pre_test,devalued,11,11
extensive,111,pre_test,still_valued,11,11
extensive,111,reacquisition,devalued,0,2
extensive,111,reacquisition,still_valued,11,11
extensive,111,test,devalued,0,0
extensive,111,test,still_valued,11,11
extensive,112,pre_test,devalued,11,11
extensive,112,pre_test,still_valued,11,11
extensive,112,reacquisition,devalued,0,0
extensive,112,reacquisition,still_valued,10,11
extensive,112,test,devalued,0,0
extensive,112,test,still_valued,11,11
extensive,113,pre_test,devalued,10,11
extensive,113,pre_test,still_valued,11,11
extensive,113,reacquisition,devalued,0,0
extensive,113,reacquisition,still_valued,11,11
extensive,113,test,devalued,0,0
extensive,113,test,still_valued,11,11
extensive,114,pre_test,devalued,11,11
extensive,114,pre_test,still_valued,11,11
extensive,114,reacquisition,devalued,2,4
extensive,114,reacquisition,still_valued,11,11
extensive,114,test,devalued,7,8
extensive,114,test,still_valued,11,11
extensive,115,pre_test,devalued,11,11
extensive,115,pre_test,still_valued,11,11
extensive,115,reacquisition,devalued,10,11
extensive,115,reacquisition,still_valued,11,11
extensive,115,test,devalued,0,1
extensive,115,test,still_valued,11,11
extensive,117,pre_test,devalued,11,11
extensive,117,pre_test,still_valued,11,11
extensive,117,reacquisition,devalued,10,10
extensive,117,reacquisition,still_valued,11,11
extensive,117,test,devalued,0,0
extensive,117,test,still_valued,11,11
extensive,118,pre_test,devalued,11,11
extensive,118,pre_test,still_valued,11,11
extensive,118,reacquisition,devalued,5,6
extensive,118,reacquisition,still_valued,11,11
extensive,118,test,devalued,1,2
extensive,118,test,still_valued,11,11
extensive,119,pre_test,devalued,6,8
extensive,119,pre_test,still_valued,9,9
extensive,119,reacquisition,devalued,11,11
extensive,119,reacquisition,still_valued,10,11
extensive,119,test,devalued,11,11
extensive,119,test,still_valued,10,11
extensive,120,pre_test,devalued,11,11
extensive,120,pre_test,still_valued,11,11
extensive,120,reacquisition,devalued,0,0
extensive,120,reacquisition,still_valued,10,10
extensive,120,test,devalued,5,8
extensive,120,test,still_valued,11,11
extensive,121,pre_test,devalued,11,11
extensive,121,pre_test,still_valued,11,11
extensive,121,reacquisition,devalued,0,0
extensive,121,reacquisition,still_valued,11,11
extensive,121,test,devalued,0,0
extensive,121,test,still_valued,11,11
extensive,122,pre_test,devalued,11,11
extensive,122,pre_test,still_valued,11,11
extensive,122,reacquisition,devalued,0,0
extensive,122,reacquisition,still_valued,11,11
extensive,122,test,devalued,0,0
extensive,122,test,still_valued,11,11
